T1 (ms),T2 (ms),T3 (ms),T4 (ms)
1522326172906,1522326173048,1522326173048,1522326173135
1522326173135,1522326173279,1522326173279,1522326173418
1522326173418,1522326173564,1522326173564,1522326173725
1522326173725,1522326173868,1522326173868,1522326174032
1522326174032,1522326174176,1522326174176,1522326174339
1522326174339,1522326174481,1522326174481,1522326174646
1522326174646,1522326174792,1522326174792,1522326174953
1522326174953,1522326175097,1522326175097,1522326175184
1522326175184,1522326175327,1522326175327,1522326175413
1522326175413,1522326175557,1522326175557,1522326175644
1522326175644,1522326175788,1522326175788,1522326175874
1522326175874,1522326176018,1522326176018,1522326176104
1522326176104,1522326176251,1522326176251,1522326176337
1522326176338,1522326176481,1522326176481,1522326176567
1522326176567,1522326176710,1522326176710,1522326176800
1522326176800,1522326176943,1522326176943,1522326177030
1522326177030,1522326177172,1522326177173,1522326177259
1522326177259,1522326177404,1522326177404,1522326177491
1522326177491,1522326177634,1522326177634,1522326177721
1522326177721,1522326177868,1522326177868,1522326177954
1522326177954,1522326178097,1522326178097,1522326178183
1522326178183,1522326178324,1522326178324,1522326178411
1522326178411,1522326178554,1522326178554,1522326178641
1522326178641,1522326178783,1522326178783,1522326178869
1522326178869,1522326179007,1522326179007,1522326179094
1522326179094,1522326179237,1522326179237,1522326179323
1522326179323,1522326179466,1522326179466,1522326179552
1522326179552,1522326179698,1522326179698,1522326179785
1522326179785,1522326179927,1522326179927,1522326180014
1522326180014,1522326180157,1522326180157,1522326180243
1522326180243,1522326180387,1522326180387,1522326180473
1522326180473,1522326180615,1522326180615,1522326180702
1522326180702,1522326180848,1522326180848,1522326180935
1522326180935,1522326181079,1522326181079,1522326181166
1522326181166,1522326181305,1522326181305,1522326181404
1522326181404,1522326181548,1522326181548,1522326181635
1522326181635,1522326181779,1522326181779,1522326181865
1522326181865,1522326182009,1522326182009,1522326182095
1522326182095,1522326182241,1522326182241,1522326182327
1522326182327,1522326182470,1522326182470,1522326182557
1522326182557,1522326182700,1522326182700,1522326182788
1522326182788,1522326182933,1522326182933,1522326183020
1522326183020,1522326183163,1522326183163,1522326183249
1522326183249,1522326183393,1522326183393,1522326183479
1522326183479,1522326183624,1522326183624,1522326183710
